track_id,row_id,rank,shop,title,link,sku_name,price,orig,tag,height,height_evidence,bundle,custom,exclude
T1,R014-S023,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,胖人H 软硬双面【大体重专用弹簧 推荐＞180斤】24cm,1698.3,2498.0,平台加补后,,,False,False,
T1,R015-S001,15,雅兰官方旗舰店,【有度旗舰】雅兰床垫国家补贴官方5A乳胶弹簧硬垫0胶黄麻席梦思,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=579469019207,【☆主推新品】有度·旗舰S-22cm 【双重分区承托升级】,2429.3,3899.0,平台加补后,,,False,False,
T1,R015-S002,15,雅兰官方旗舰店,【有度旗舰】雅兰床垫国家补贴官方5A乳胶弹簧硬垫0胶黄麻席梦思,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=579469019207,有度·旗舰版3.0-23cm 【标准旗舰款-多重护脊】·,2514.3,3999.0,平台加补后,,,False,False,
T1,R015-S008,15,雅兰官方旗舰店,【有度旗舰】雅兰床垫国家补贴官方5A乳胶弹簧硬垫0胶黄麻席梦思,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=579469019207,有度·护脊版3.0-22cm【经典护脊配置-有力承托*】·,2259.3,3699.0,平台加补后,,,False,False,
T1,R017-S001,17,喜临门官方旗舰店,【白骑士Pros0胶】喜临门A类可拆洗席梦思乳胶透气四叶草弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=820208829398,白骑士Pros0胶（主推款）【双睡感/26cm】可拆可洗支撑升级,2974.15,5099.0,平台加补后,26.0,/26cm】,False,False,
T1,R017-S002,17,喜临门官方旗舰店,【白骑士Pros0胶】喜临门A类可拆洗席梦思乳胶透气四叶草弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=820208829398,白骑士Kids2.0（舒脊款）【双睡感/20CM】可拆可洗整垫0胶,2549.15,4599.0,平台加补后,20.0,/20cm】,False,False,
T1,R017-S004,17,喜临门官方旗舰店,【白骑士Pros0胶】喜临门A类可拆洗席梦思乳胶透气四叶草弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=820208829398,白骑士0胶（经典款）【双重睡感/26cm】整垫0胶软硬可调,2719.15,4799.0,平台加补后,26.0,/26cm】,False,False,
T1,R017-S005,17,喜临门官方旗舰店,【白骑士Pros0胶】喜临门A类可拆洗席梦思乳胶透气四叶草弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=820208829398,白骑士Plus+（非0胶款）【双面睡感/25CM】四重升级睡得舒服,2634.15,4699.0,平台加补后,25.0,/25cm】,False,False,
T1,R019-S001,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679598949615,豆芽3.0经典 【护脊实力派/24CM】老少皆宜,1847.14,2799.0,平台加补后,24.0,/24cm】,False,False,
T1,R019-S002,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679598949615,豆芽3.0Air 【偏硬护脊/20CM】性价比拉满,1847.14,2799.0,平台加补后,20.0,/20cm】,False,False,
T1,R019-S003,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679598949615,豆芽3.0旗舰Pro【实力护脊/26CM】透气又护脊,2244.94,3399.0,平台加补后,26.0,/26cm】,False,False,
T1,R019-S004,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679598949615,豆芽3.0舒脊 【软硬适中/26cM】兼顾护脊&舒适,2244.94,3399.0,平台加补后,26.0,/26cm】,False,False,
T1,R019-S005,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679598949615,豆芽3.0 O胶【释压护脊+随心调节睡感+面层可拆晾晒】26CM,2775.34,4199.0,平台加补后,,,False,False,
T1,R019-S007,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679598949615,豆芽经典款【偏硬护脊/23CM]性价比拉满,1648.24,2499.0,平台加补后,,,False,False,
T1,R019-S008,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679598949615,豆芽甄选款【净味护脊/24CM】专研新品,2046.04,3099.0,平台加补后,24.0,/24cm】,False,False,
T1,R019-S009,19,麻大师旗舰店,麻大师豆芽黄麻护脊床垫国家补贴双人硬垫子乳胶弹簧席梦思厚家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=679598949615,豆芽3.0Pro 【软硬适中/26CM】兼顾护脊&舒适,2244.94,3399.0,平台加补后,26.0,/26cm】,False,False,
T1,R023-S001,23,源氏木语官方旗舰店,源氏木语0胶水床垫美满抗敏防螨透气垫家用竹炭绵垫独立弹簧厚垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=978756604989,(全垫零胶水)美满·零胶水床垫(24CM厚/偏硬H2)JH2SFC000,2872.92,4401.0,平台加补后,24.0,24cm厚,False,False,
T1,R026-S001,26,喜临门官方旗舰店,【店播专享】【白骑士plus】喜临门席梦思乳胶软垫黄麻弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=973602877186,白骑士Plus（主推款）【双面睡感/25CM】双面可睡经典之选,2464.15,3899.0,平台加补后,25.0,/25cm】,False,False,
T1,R026-S002,26,喜临门官方旗舰店,【店播专享】【白骑士plus】喜临门席梦思乳胶软垫黄麻弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=973602877186,白骑士Plus+（主推升级款）【双面睡感/25CM】四重升级主卧推荐,2634.15,4099.0,平台加补后,25.0,/25cm】,False,False,
T1,R026-S003,26,喜临门官方旗舰店,【店播专享】【白骑士plus】喜临门席梦思乳胶软垫黄麻弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=973602877186,白骑士Lite+（基础升级款）【适中睡感/22CM】A类面料三区舒脊,2379.15,3799.0,平台加补后,22.0,/22cm】,False,False,
T1,R026-S004,26,喜临门官方旗舰店,【店播专享】【白骑士plus】喜临门席梦思乳胶软垫黄麻弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=973602877186,白骑士Pros0胶（可拆洗款）【双睡感/26cm】支撑升级透气升级,2974.15,4499.0,平台加补后,26.0,/26cm】,False,False,
T1,R026-S005,26,喜临门官方旗舰店,【店播专享】【白骑士plus】喜临门席梦思乳胶软垫黄麻弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=973602877186,白骑士Kids2.0（0胶舒脊款）【双睡感/20CM】可拆可洗整垫0胶,2549.15,3999.0,平台加补后,20.0,/20cm】,False,False,
T1,R034-S003,34,林氏家居官方旗舰店,林氏家居乳胶床垫国家补贴0胶水甲醛0超家用弹簧护脊180x200木业,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=825215102865,(3)【薄荷】易敏0棕偏好|正适中反硬|24cm,1923.0,1923.0,,,,False,False,
T1,R034-S011,34,林氏家居官方旗舰店,林氏家居乳胶床垫国家补贴0胶水甲醛0超家用弹簧护脊180x200木业,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=825215102865,(11)【原竹Pro】尊享超声波弹簧轻音双面睡|正偏硬 反硬|23cm,1646.69,2809.0,平台加补后,,,False,False,
T1,R034-S012,34,林氏家居官方旗舰店,林氏家居乳胶床垫国家补贴0胶水甲醛0超家用弹簧护脊180x200木业,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=825215102865,(12)【原竹】经典乳胶轻音自然防螨|正适中 反硬|25cm,1598.0,2725.0,平台加补后,,,False,False,
T1,R038-S001,38,居然之家床垫企业店,【居然家居】独立弹簧床垫乳胶软垫椰棕垫护脊偏硬家用双人1.8,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1062828878403,栖月系列【柔睡偏软-26cm】舒适款 （卷包发货）,2259.3,3323.0,平台加补后,,,False,False,
T1,R040-S003,40,SMAN森眠旗舰店,森眠Q3天然乳胶床垫泰国进口橡胶宿舍学生单人家用卧室软垫乳胶垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=798223490486,0胶水【Q3 Plus款】10cm（95D款 撑腰护脊） 一体成型,1505.76,2171.48,平台加补后,,,False,False,
T1,R040-S022,40,SMAN森眠旗舰店,森眠Q3天然乳胶床垫泰国进口橡胶宿舍学生单人家用卧室软垫乳胶垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=798223490486,0胶水【Q3 Plus抗氧款】7.5cm（105D款 偏硬）一体成型,1630.56,2285.31,平台加补后,,,False,False,
T1,R041-S001,41,喜临门官方旗舰店,【光年护脊3.0】喜临门主卧透气席梦思偏硬舒脊黄麻独袋弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=665056457391,光年护脊3.0【偏硬睡感/21CM】超6成用户选Ta☆☆☆,1784.15,2999.0,平台加补后,21.0,/21cm】,False,False,
T1,R042-S002,42,源氏木语官方旗舰店,源氏木语小椰0胶水床垫可家用天然椰棕护脊硬垫弹簧乳胶软垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=37479800159,(2)(全垫零胶水)小椰·零胶水床垫(双面款)(厚23cm/正面H2反面H1)J136,1698.2,2178.0,店铺优惠后,23.0,厚23cm,False,False,
T1,R042-S003,42,源氏木语官方旗舰店,源氏木语小椰0胶水床垫可家用天然椰棕护脊硬垫弹簧乳胶软垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=37479800159,(3)(全垫零胶水)小椰·零胶水床垫(厚24cm/偏硬H2)J33,1592.7,2043.0,店铺优惠后,24.0,厚24cm,False,False,
T1,R042-S008,42,源氏木语官方旗舰店,源氏木语小椰0胶水床垫可家用天然椰棕护脊硬垫弹簧乳胶软垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=37479800159,(5)(全垫零胶水)小椰·零胶水折叠床垫(厚24cm/偏硬H2)JZ33方便入户,1909.2,2448.0,店铺优惠后,24.0,厚24cm,False,False,
T1,R043-S012,43,海马亦言床垫企业店,海马亦言盒子乳胶床垫补贴席梦思压缩家用独立弹簧软垫厚酒店名牌,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=691105276997,适中可拆款（厚度约24CM）臀部加固 软硬调节 H-Z1,1507.9,2175.0,平台加补后,24.0,厚度约24cm,False,False,
T1,R044-S001,44,喜临门官方旗舰店,【云朗Pro】喜临门官方家用主卧席梦思偏硬黄麻乳胶独袋弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=719788224123,云朗Pro【双睡感/25.5CM】透气清新双重舒压,1784.15,2999.0,平台加补后,25.5,/25.5cm】,False,False,
T1,R044-S002,44,喜临门官方旗舰店,【云朗Pro】喜临门官方家用主卧席梦思偏硬黄麻乳胶独袋弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=719788224123,云朗M1【双睡感/25CM】分区释压睡感升级 无赠品,1954.15,3199.0,平台加补后,25.0,/25cm】,False,False,
T1,R044-S004,44,喜临门官方旗舰店,【云朗Pro】喜临门官方家用主卧席梦思偏硬黄麻乳胶独袋弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=719788224123,云朗Neo【适中睡感/24CM】可拆洗款灵动分区,1869.15,3099.0,平台加补后,24.0,/24cm】,False,False,
