row_id,rank,shop,title,link,sku_name,price,orig,tag,height,height_evidence,bundle,custom,exclude
R007-S002,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚5cm【95D护脊撑腰】A类抑菌面料,1250.35,1742.0,秒杀价,5.0,厚5cm,False,False,
R007-S003,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚7.5cm【85D软硬适中】A类抑菌面料,1649.85,2295.0,秒杀价,7.5,厚7.5cm,False,False,
R007-S004,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚7.5cm【95D护脊撑腰】A类抑菌面料,1760.35,2448.0,秒杀价,7.5,厚7.5cm,False,False,
R007-S005,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚10cm【85D软硬适中】A类抑菌面料,2130.1,2960.0,秒杀价,10.0,厚10cm,False,False,
R007-S006,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚10cm【95D护脊撑腰】A类抑菌面料,2230.4,3098.0,秒杀价,10.0,厚10cm,False,False,
R007-S007,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚15cm【85D软硬适中】A类抑菌面料,3190.05,4427.0,秒杀价,15.0,厚15cm,False,False,
R007-S008,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚15cm【95D护脊撑腰】A类抑菌面料,3550.45,4925.0,秒杀价,15.0,厚15cm,False,False,
R007-S009,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,产品对比图 （需定制请详询客服）,4239.8,5880.0,秒杀价,,,False,True,
R007-S010,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚5cm【85D软硬适中】A类抑菌面料,1150.9,1604.0,秒杀价,5.0,厚5cm,False,False,
R007-S011,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚5cm【95D护脊撑腰】A类抑菌面料,1250.35,1742.0,秒杀价,5.0,厚5cm,False,False,同商品SKU名+价格重复（空白归一）
R007-S012,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚3cm【85D软硬适中】A类抑菌面料,790.5,1105.0,秒杀价,3.0,厚3cm,False,False,
