排名,店铺,商品标题,最低价,最高价,商品中位价,商品均价,SKU数,商品链接
36,全友家居官方旗舰店,全友家居席梦思弹簧床垫国家补贴卧室家用1.5米硬椰棕床垫180x200,670.65,1206.15,883.15,916.21,9,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=819177025301
37,峻泽旗舰店,椰棕床垫天然棕榈硬垫子家用1.5米1.8米经济型护腰护脊席梦思床垫,181.86,620.53,363.3,372.4,40,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=923381236283
38,居然之家床垫企业店,【居然家居】独立弹簧床垫乳胶软垫椰棕垫护脊偏硬家用双人1.8,2259.3,2259.3,2259.3,2259.3,1,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1062828878403
39,林氏家居官方旗舰店,林氏家居官方天然椰棕床垫加硬神器薄款家用卧室黄麻棕榈垫子木业,433.33,1394.58,814.2,824.64,11,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=718972119101
40,SMAN森眠旗舰店,森眠Q3天然乳胶床垫泰国进口橡胶宿舍学生单人家用卧室软垫乳胶垫,518.52,2203.47,1152.03,1204.43,26,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=798223490486
41,喜临门官方旗舰店,【光年护脊3.0】喜临门主卧透气席梦思偏硬舒脊黄麻独袋弹簧床垫,1784.15,3314.15,1954.15,2427.72,7,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=665056457391
42,源氏木语官方旗舰店,源氏木语小椰0胶水床垫可家用天然椰棕护脊硬垫弹簧乳胶软垫,1178.8,1919.0,1628.2,1603.23,12,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=37479800159
43,海马亦言床垫企业店,海马亦言盒子乳胶床垫补贴席梦思压缩家用独立弹簧软垫厚酒店名牌,595.0,1507.9,956.25,971.68,13,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=691105276997
44,喜临门官方旗舰店,【云朗Pro】喜临门官方家用主卧席梦思偏硬黄麻乳胶独袋弹簧床垫,1784.15,3698.35,1911.65,2343.02,10,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=719788224123
45,岶兰海马家具直销店,岶兰海马五星级希尔顿酒店乳胶床垫独立弹簧压缩家用超软加厚软垫,456.0,916.0,679.0,683.3,10,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=849786889759
46,源氏木语官方旗舰店,源氏木语0胶水床垫天然椰棕环保家用棕垫双人硬垫小椰薄款,786.2,1438.5,940.4,1055.99,9,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=39187765503
47,喜临门官方旗舰店,【漾Pro+】喜临门官方正品主卧双人席梦思乳胶mini簧七区弹簧床垫,2464.15,4098.7,2634.15,3024.06,7,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=673717376032
48,雅兰官方旗舰店,【深睡尊享】雅兰5A级床垫国家补贴乳胶床垫官方1.8m弹簧家用厚垫,2455.65,4070.65,3135.65,3220.65,6,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=537752847336
49,源氏木语官方旗舰店,源氏木语0胶水羊毛床垫特拉蕾乳胶护脊山棕透气垫独立弹簧垫朴朴,4939.8,4939.8,4939.8,4939.8,1,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=1047088294624
50,喜临门家居旗舰店,【大白垫】城市爱情席梦思弹簧软硬两用乳胶椰棕家用乳胶床垫,1036.15,1401.65,1231.65,1223.15,5,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=828062195107
51,佰舒顿BOIRSDOL家具,席梦思床垫1米5家用卧室独立弹簧厚20cm乳胶软垫180x200租房专用,339.0,800.0,435.0,468.67,24,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=900205276337
52,林氏家居官方旗舰店,林氏家居官方椰棕床垫180x200黄麻家用护脊加硬弹簧棕榈垫子木业,744.87,1498.21,1053.36,1051.39,12,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=644816479592
53,源氏木语官方旗舰店,源氏木语乳胶0胶水床垫卧室护脊弹簧椰棕护脊垫家用椰椰Pro厚垫子,2348.5,2692.4,2348.5,2463.13,3,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=688436280249
54,喜临门官方旗舰店,【净眠M25MAX】喜临门直营同款3D材料透气舒脊七区独袋弹簧床垫,5609.15,8599.0,7999.35,8000.28,9,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=977828424168
55,睡眠骑士床垫官方店,睡眠骑士梦舒乳胶五星级酒店床垫席梦思记忆棉加厚30cm厚家用软垫,1229.1,1798.6,1469.65,1476.18,16,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=676435752637
56,佰舒顿BOIRSDOL家具,床垫子1米5x2米家庭用软垫卧室静音弹簧180x200出租房专用20cm厚,335.0,925.0,460.0,528.12,24,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=594327913928
57,喜临门官方旗舰店,【店播专享】喜临门塔利亚床垫A类面料主卧乳胶舒脊独袋弹簧床垫,1571.65,1911.65,1614.15,1699.15,5,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=974246528539
58,梦百合官方旗舰店,门店同款梦百合快充2.0护脊0压记忆棉弹簧床垫家用卧室酒店席梦思,2840.62,8998.0,4802.0,5736.2,9,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=725486206427
59,龙凤床垫旗舰店,龙凤云睡国补席梦思床垫厚乳胶家用护脊护腰0胶黄麻弹簧硬垫双人,1293.7,3904.05,2003.45,2077.2,21,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=616851999134
